,0,1,2,3
719,779.0,780.0,2648.31,4.0
720,782.0,783.0,953.85,4.0
721,784.0,1084.0,1143.28,1.0
722,786.0,787.0,1229.03,4.0
723,791.0,797.0,4039.84,0.0
724,795.0,796.0,2534.05,0.0
725,803.0,804.0,156.25,4.0
726,805.0,806.0,2430.99,0.0
727,807.0,808.0,620.54,0.0
728,808.0,874.0,516.54,0.0
729,809.0,810.0,274.98,4.0
730,810.0,928.0,613.23,4.0
731,811.0,812.0,1920.33,0.0
732,813.0,865.0,218.72,0.0
733,817.0,818.0,1572.75,0.0
734,820.0,821.0,1816.38,5.0
735,821.0,1040.0,7345.73,2.0
736,823.0,824.0,1046.04,5.0
737,825.0,826.0,744.44,5.0
738,827.0,828.0,363.82,5.0
739,833.0,961.0,505.38,3.0
740,833.0,982.0,234.39,0.0
741,833.0,1035.0,225.75,4.0
742,836.0,837.0,2181.69,4.0
743,844.0,845.0,8.52,4.0
744,847.0,847.0,5574.2,4.0
745,848.0,849.0,397.23,4.0
746,850.0,851.0,3073.93,1.0
747,850.0,957.0,1694.47,0.0
748,851.0,862.0,78.31,1.0
749,855.0,856.0,654.68,0.0
750,858.0,859.0,2444.37,1.0
751,860.0,861.0,4450.65,4.0
752,862.0,983.0,325.75,0.0
753,862.0,983.0,325.75,1.0
754,863.0,866.0,588.76,0.0
755,864.0,865.0,987.0,1.0
